Node_ID X Y Z
201 0.30 0.40 0.00
202 0.30 1.20 0.00
203 0.30 2.00 0.00
204 0.30 2.80 0.00
205 0.30 3.60 0.00
206 0.30 4.40 0.00
207 0.30 5.20 0.00
208 0.30 6.00 0.00
209 0.30 6.80 0.00
210 0.30 7.60 0.00
211 0.30 8.40 0.00
212 0.30 9.20 0.00
213 0.80 0.40 0.00
214 0.80 1.20 0.00
215 0.80 2.00 0.00
216 0.80 2.80 0.00
217 0.80 3.60 0.00
218 0.80 4.40 0.00
219 0.80 5.20 0.00
220 0.80 6.00 0.00
221 0.80 6.80 0.00
222 0.80 7.60 0.00
223 0.80 8.40 0.00
224 0.80 9.20 0.00
225 1.30 0.40 0.00
226 1.30 1.20 0.00
227 1.30 2.00 0.00
228 1.30 2.80 0.00
229 1.30 3.60 0.00
230 1.30 4.40 0.00
231 1.30 5.20 0.00
232 1.30 6.00 0.00
233 1.30 6.80 0.00
234 1.30 7.60 0.00
235 1.30 8.40 0.00
236 1.30 9.20 0.00
237 1.80 0.40 0.00
238 1.80 1.20 0.00
239 1.80 2.00 0.00
240 1.80 2.80 0.00
241 1.80 3.60 0.00
242 1.80 4.40 0.00
243 1.80 5.20 0.00
244 1.80 6.00 0.00
245 1.80 6.80 0.00
246 1.80 7.60 0.00
247 1.80 8.40 0.00
248 1.80 9.20 0.00
249 2.30 0.40 0.00
250 2.30 1.20 0.00
251 2.30 2.00 0.00
252 2.30 2.80 0.00
253 2.30 3.60 0.00
254 2.30 4.40 0.00
255 2.30 5.20 0.00
256 2.30 6.00 0.00
257 2.30 6.80 0.00
258 2.30 7.60 0.00
259 2.30 8.40 0.00
260 2.30 9.20 0.00
