Node_ID X Y Z Fx Fy Fz
1 0.60 0.80 0.00 10.50 5.20 2.10
2 0.60 1.60 0.00 12.30 6.40 2.35
3 0.60 2.40 0.00 14.80 7.80 2.70
4 0.60 3.20 0.00 17.20 9.10 3.10
5 0.60 4.00 0.00 19.50 10.30 3.45
6 0.60 4.80 0.00 21.80 11.60 3.85
7 0.60 5.60 0.00 24.10 12.80 4.20
8 0.60 6.40 0.00 26.40 14.10 4.60
9 0.60 7.20 0.00 28.70 15.30 5.00
10 0.60 8.00 0.00 31.00 16.50 5.40
11 0.60 8.80 0.00 33.30 17.80 5.80
12 1.30 0.80 0.00 11.80 4.90 2.25
13 1.30 1.60 0.00 13.90 6.20 2.55
14 1.30 2.40 0.00 16.50 7.50 2.90
15 1.30 3.20 0.00 19.10 8.80 3.30
16 1.30 4.00 0.00 21.60 10.10 3.70
17 1.30 4.80 0.00 24.20 11.40 4.10
18 1.30 5.60 0.00 26.70 12.60 4.50
19 1.30 6.40 0.00 29.30 13.90 4.90
20 1.30 7.20 0.00 31.80 15.20 5.30
21 1.30 8.00 0.00 34.40 16.40 5.70
22 1.30 8.80 0.00 36.90 17.70 6.10
23 2.00 0.80 0.00 13.20 4.60 2.40
24 2.00 1.60 0.00 15.60 5.90 2.75
25 2.00 2.40 0.00 18.30 7.20 3.15
26 2.00 3.20 0.00 21.00 8.50 3.55
27 2.00 4.00 0.00 23.70 9.80 3.95
28 2.00 4.80 0.00 26.50 11.10 4.40
29 2.00 5.60 0.00 29.20 12.40 4.80
30 2.00 6.40 0.00 31.90 13.70 5.25
31 2.00 7.20 0.00 34.60 15.00 5.65
32 2.00 8.00 0.00 37.30 16.30 6.10
33 2.00 8.80 0.00 40.00 17.60 6.50
