Node_ID X Y Z Area
101 0.25 0.33 0.00 0.0005
102 0.25 1.00 0.00 0.0005
103 0.25 1.67 0.00 0.0005
104 0.25 2.33 0.00 0.0005
105 0.25 3.00 0.00 0.0005
106 0.25 3.67 0.00 0.0005
107 0.25 4.34 0.00 0.0005
108 0.25 5.00 0.00 0.0005
109 0.25 5.67 0.00 0.0005
110 0.25 6.34 0.00 0.0005
111 0.25 7.00 0.00 0.0005
112 0.25 7.67 0.00 0.0005
113 0.25 8.34 0.00 0.0005
114 0.25 9.00 0.00 0.0005
115 0.25 9.67 0.00 0.0005
116 0.75 0.33 0.00 0.0005
117 0.75 1.00 0.00 0.0005
118 0.75 1.67 0.00 0.0005
119 0.75 2.33 0.00 0.0005
120 0.75 3.00 0.00 0.0005
121 0.75 3.67 0.00 0.0005
122 0.75 4.34 0.00 0.0005
123 0.75 5.00 0.00 0.0005
124 0.75 5.67 0.00 0.0005
125 0.75 6.34 0.00 0.0005
126 0.75 7.00 0.00 0.0005
127 0.75 7.67 0.00 0.0005
128 0.75 8.34 0.00 0.0005
129 0.75 9.00 0.00 0.0005
130 0.75 9.67 0.00 0.0005
131 1.25 0.33 0.00 0.0005
132 1.25 1.00 0.00 0.0005
133 1.25 1.67 0.00 0.0005
134 1.25 2.33 0.00 0.0005
135 1.25 3.00 0.00 0.0005
136 1.25 3.67 0.00 0.0005
137 1.25 4.34 0.00 0.0005
138 1.25 5.00 0.00 0.0005
139 1.25 5.67 0.00 0.0005
140 1.25 6.34 0.00 0.0005
141 1.25 7.00 0.00 0.0005
142 1.25 7.67 0.00 0.0005
143 1.25 8.34 0.00 0.0005
144 1.25 9.00 0.00 0.0005
145 1.25 9.67 0.00 0.0005
146 1.75 0.33 0.00 0.0005
147 1.75 1.00 0.00 0.0005
148 1.75 1.67 0.00 0.0005
149 1.75 2.33 0.00 0.0005
150 1.75 3.00 0.00 0.0005
151 1.75 3.67 0.00 0.0005
152 1.75 4.34 0.00 0.0005
153 1.75 5.00 0.00 0.0005
154 1.75 5.67 0.00 0.0005
155 1.75 6.34 0.00 0.0005
156 1.75 7.00 0.00 0.0005
157 1.75 7.67 0.00 0.0005
158 1.75 8.34 0.00 0.0005
159 1.75 9.00 0.00 0.0005
160 1.75 9.67 0.00 0.0005
161 2.25 0.33 0.00 0.0005
162 2.25 1.00 0.00 0.0005
163 2.25 1.67 0.00 0.0005
164 2.25 2.33 0.00 0.0005
165 2.25 3.00 0.00 0.0005
166 2.25 3.67 0.00 0.0005
167 2.25 4.34 0.00 0.0005
168 2.25 5.00 0.00 0.0005
169 2.25 5.67 0.00 0.0005
170 2.25 6.34 0.00 0.0005
171 2.25 7.00 0.00 0.0005
172 2.25 7.67 0.00 0.0005
173 2.25 8.34 0.00 0.0005
174 2.25 9.00 0.00 0.0005
175 2.25 9.67 0.00 0.0005
176 2.75 0.33 0.00 0.0005
177 2.75 1.00 0.00 0.0005
178 2.75 1.67 0.00 0.0005
179 2.75 2.33 0.00 0.0005
180 2.75 3.00 0.00 0.0005
181 2.75 3.67 0.00 0.0005
182 2.75 4.34 0.00 0.0005
183 2.75 5.00 0.00 0.0005
184 2.75 5.67 0.00 0.0005
185 2.75 6.34 0.00 0.0005
