Node_ID X Y Z HeatFlux
1 0.50 0.50 0.00 100.00
2 0.50 1.50 0.00 130.00
3 0.50 2.50 0.00 160.00
4 0.50 3.50 0.00 190.00
5 0.50 4.50 0.00 220.00
6 0.50 5.50 0.00 250.00
7 0.50 6.50 0.00 280.00
8 0.50 7.50 0.00 310.00
9 0.50 8.50 0.00 340.00
10 0.50 9.50 0.00 370.00
11 1.50 0.50 0.00 144.79
12 1.50 1.50 0.00 174.21
13 1.50 2.50 0.00 202.59
14 1.50 3.50 0.00 230.34
15 1.50 4.50 0.00 258.00
16 1.50 5.50 0.00 286.16
17 1.50 6.50 0.00 315.25
18 1.50 7.50 0.00 345.51
19 1.50 8.50 0.00 376.87
20 1.50 9.50 0.00 408.99
21 2.50 0.50 0.00 188.41
22 2.50 1.50 0.00 217.38
23 2.50 2.50 0.00 244.55
24 2.50 3.50 0.00 270.60
25 2.50 4.50 0.00 296.50
26 2.50 5.50 0.00 323.26
27 2.50 6.50 0.00 351.67
28 2.50 7.50 0.00 382.12
29 2.50 8.50 0.00 414.50
30 2.50 9.50 0.00 448.23
31 3.50 0.50 0.00 229.97
32 3.50 1.50 0.00 258.75
33 3.50 2.50 0.00 285.39
34 3.50 3.50 0.00 310.71
35 3.50 4.50 0.00 335.85
36 3.50 5.50 0.00 362.01
37 3.50 6.50 0.00 390.12
38 3.50 7.50 0.00 420.66
39 3.50 8.50 0.00 453.48
40 3.50 9.50 0.00 487.90
41 4.50 0.50 0.00 269.09
42 4.50 1.50 0.00 297.98
43 4.50 2.50 0.00 324.91
44 4.50 3.50 0.00 350.64
45 4.50 4.50 0.00 376.22
46 4.50 5.50 0.00 402.72
47 4.50 6.50 0.00 431.00
48 4.50 7.50 0.00 461.48
49 4.50 8.50 0.00 494.06
50 4.50 9.50 0.00 528.08
51 5.50 0.50 0.00 305.98
52 5.50 1.50 0.00 335.25
53 5.50 2.50 0.00 363.23
54 5.50 3.50 0.00 390.42
55 5.50 4.50 0.00 417.51
56 5.50 5.50 0.00 445.21
57 5.50 6.50 0.00 474.08
58 5.50 7.50 0.00 504.40
59 5.50 8.50 0.00 536.09
60 5.50 9.50 0.00 568.74
61 6.50 0.50 0.00 341.41
62 6.50 1.50 0.00 371.24
63 6.50 2.50 0.00 400.76
64 6.50 3.50 0.00 430.10
65 6.50 4.50 0.00 459.41
66 6.50 5.50 0.00 488.87
67 6.50 6.50 0.00 518.60
68 6.50 7.50 0.00 548.68
69 6.50 8.50 0.00 579.08
70 6.50 9.50 0.00 609.70
71 7.50 0.50 0.00 376.49
72 7.50 1.50 0.00 406.92
73 7.50 2.50 0.00 438.10
74 7.50 3.50 0.00 469.75
75 7.50 4.50 0.00 501.46
76 7.50 5.50 0.00 532.81
77 7.50 6.50 0.00 563.47
78 7.50 7.50 0.00 593.28
79 7.50 8.50 0.00 622.29
80 7.50 9.50 0.00 650.74
81 8.50 0.50 0.00 412.43
82 8.50 1.50 0.00 443.36
83 8.50 2.50 0.00 475.91
84 8.50 3.50 0.00 509.46
85 8.50 4.50 0.00 543.15
86 8.50 5.50 0.00 576.06
87 8.50 6.50 0.00 607.49
88 8.50 7.50 0.00 637.09
89 8.50 8.50 0.00 664.95
90 8.50 9.50 0.00 691.60
91 9.50 0.50 0.00 450.22
92 9.50 1.50 0.00 481.42
93 9.50 2.50 0.00 514.72
94 9.50 3.50 0.00 549.31
95 9.50 4.50 0.00 584.07
96 9.50 5.50 0.00 617.83
97 9.50 6.50 0.00 649.68
98 9.50 7.50 0.00 679.15
99 9.50 8.50 0.00 706.39
100 9.50 9.50 0.00 732.06
