Node_ID X Y Z Volume
401 0.20 0.30 0.00 0.001000
402 0.20 1.10 0.00 0.001000
403 0.20 1.90 0.00 0.001000
404 0.20 2.70 0.00 0.001000
405 0.20 3.50 0.00 0.001000
406 0.20 4.30 0.00 0.001000
407 0.20 5.10 0.00 0.001000
408 0.20 5.90 0.00 0.001000
409 0.20 6.70 0.00 0.001000
410 0.20 7.50 0.00 0.001000
411 0.20 8.30 0.00 0.001000
412 0.20 9.10 0.00 0.001000
413 0.70 0.30 0.00 0.001000
414 0.70 1.10 0.00 0.001000
415 0.70 1.90 0.00 0.001000
416 0.70 2.70 0.00 0.001000
417 0.70 3.50 0.00 0.001000
418 0.70 4.30 0.00 0.001000
419 0.70 5.10 0.00 0.001000
420 0.70 5.90 0.00 0.001000
421 0.70 6.70 0.00 0.001000
422 0.70 7.50 0.00 0.001000
423 0.70 8.30 0.00 0.001000
424 0.70 9.10 0.00 0.001000
425 1.20 0.30 0.00 0.001000
426 1.20 1.10 0.00 0.001000
427 1.20 1.90 0.00 0.001000
428 1.20 2.70 0.00 0.001000
429 1.20 3.50 0.00 0.001000
430 1.20 4.30 0.00 0.001000
431 1.20 5.10 0.00 0.001000
432 1.20 5.90 0.00 0.001000
433 1.20 6.70 0.00 0.001000
434 1.20 7.50 0.00 0.001000
435 1.20 8.30 0.00 0.001000
436 1.20 9.10 0.00 0.001000
437 1.70 0.30 0.00 0.001000
438 1.70 1.10 0.00 0.001000
439 1.70 1.90 0.00 0.001000
440 1.70 2.70 0.00 0.001000
441 1.70 3.50 0.00 0.001000
442 1.70 4.30 0.00 0.001000
443 1.70 5.10 0.00 0.001000
444 1.70 5.90 0.00 0.001000
445 1.70 6.70 0.00 0.001000
446 1.70 7.50 0.00 0.001000
447 1.70 8.30 0.00 0.001000
448 1.70 9.10 0.00 0.001000
449 2.20 0.30 0.00 0.001000
450 2.20 1.10 0.00 0.001000
451 2.20 1.90 0.00 0.001000
452 2.20 2.70 0.00 0.001000
453 2.20 3.50 0.00 0.001000
454 2.20 4.30 0.00 0.001000
455 2.20 5.10 0.00 0.001000
456 2.20 6.00 0.00 0.001000
457 2.20 6.70 0.00 0.001000
458 2.20 7.50 0.00 0.001000
459 2.20 8.30 0.00 0.001000
460 2.20 9.10 0.00 0.001000
