Node_ID X Y Z HeatGen
1 0.45 0.70 0.00 500.00
2 0.45 1.50 0.00 550.00
3 0.45 2.30 0.00 600.00
4 0.45 3.10 0.00 650.00
5 0.45 3.90 0.00 700.00
6 0.45 4.70 0.00 750.00
7 0.45 5.50 0.00 800.00
8 0.45 6.30 0.00 850.00
9 0.45 7.10 0.00 900.00
10 0.45 7.90 0.00 950.00
11 0.45 8.70 0.00 1000.00
12 1.20 0.70 0.00 525.00
13 1.20 1.50 0.00 575.00
14 1.20 2.30 0.00 625.00
15 1.20 3.10 0.00 675.00
16 1.20 3.90 0.00 725.00
17 1.20 4.70 0.00 775.00
18 1.20 5.50 0.00 825.00
19 1.20 6.30 0.00 875.00
20 1.20 7.10 0.00 925.00
21 1.20 7.90 0.00 975.00
22 1.20 8.70 0.00 1025.00
23 1.95 0.70 0.00 575.00
24 1.95 1.50 0.00 625.00
25 1.95 2.30 0.00 675.00
26 1.95 3.10 0.00 725.00
27 1.95 3.90 0.00 775.00
28 1.95 4.70 0.00 825.00
29 1.95 5.50 0.00 875.00
30 1.95 6.30 0.00 925.00
31 1.95 7.10 0.00 975.00
32 1.95 7.90 0.00 1025.00
33 1.95 8.70 0.00 1075.00
