Node_ID X Y Z
101 0.25 0.33 0.00
102 0.25 1.00 0.00
103 0.25 1.67 0.00
104 0.25 2.33 0.00
105 0.25 3.00 0.00
106 0.25 3.67 0.00
107 0.25 4.34 0.00
108 0.25 5.00 0.00
109 0.25 5.67 0.00
110 0.25 6.34 0.00
111 0.25 7.00 0.00
112 0.25 7.67 0.00
113 0.25 8.34 0.00
114 0.25 9.00 0.00
115 0.25 9.67 0.00
116 0.75 0.33 0.00
117 0.75 1.00 0.00
118 0.75 1.67 0.00
119 0.75 2.33 0.00
120 0.75 3.00 0.00
121 0.75 3.67 0.00
122 0.75 4.34 0.00
123 0.75 5.00 0.00
124 0.75 5.67 0.00
125 0.75 6.34 0.00
126 0.75 7.00 0.00
127 0.75 7.67 0.00
128 0.75 8.34 0.00
129 0.75 9.00 0.00
130 0.75 9.67 0.00
131 1.25 0.33 0.00
132 1.25 1.00 0.00
133 1.25 1.67 0.00
134 1.25 2.33 0.00
135 1.25 3.00 0.00
136 1.25 3.67 0.00
137 1.25 4.34 0.00
138 1.25 5.00 0.00
139 1.25 5.67 0.00
140 1.25 6.34 0.00
141 1.25 7.00 0.00
142 1.25 7.67 0.00
143 1.25 8.34 0.00
144 1.25 9.00 0.00
145 1.25 9.67 0.00
146 1.75 0.33 0.00
147 1.75 1.00 0.00
148 1.75 1.67 0.00
149 1.75 2.33 0.00
150 1.75 3.00 0.00
151 1.75 3.67 0.00
152 1.75 4.34 0.00
153 1.75 5.00 0.00
154 1.75 5.67 0.00
155 1.75 6.34 0.00
156 1.75 7.00 0.00
157 1.75 7.67 0.00
158 1.75 8.34 0.00
159 1.75 9.00 0.00
160 1.75 9.67 0.00
161 2.25 0.33 0.00
162 2.25 1.00 0.00
163 2.25 1.67 0.00
164 2.25 2.33 0.00
165 2.25 3.00 0.00
166 2.25 3.67 0.00
167 2.25 4.34 0.00
168 2.25 5.00 0.00
169 2.25 5.67 0.00
170 2.25 6.34 0.00
171 2.25 7.00 0.00
172 2.25 7.67 0.00
173 2.25 8.34 0.00
174 2.25 9.00 0.00
175 2.25 9.67 0.00
