Node_ID X Y Z HTC Tref
1 0.50 0.50 0.00 150.00 310.00
2 0.50 1.50 0.00 155.00 312.00
3 0.50 2.50 0.00 162.00 315.00
4 0.50 3.50 0.00 170.00 318.00
5 0.50 4.50 0.00 178.00 320.00
6 0.50 5.50 0.00 185.00 322.00
7 0.50 6.50 0.00 190.00 325.00
8 0.50 7.50 0.00 196.00 328.00
9 0.50 8.50 0.00 200.00 330.00
10 0.50 9.50 0.00 205.00 332.00
11 1.50 0.50 0.00 158.00 311.00
12 1.50 1.50 0.00 163.00 313.00
13 1.50 2.50 0.00 169.00 316.00
14 1.50 3.50 0.00 177.00 319.00
15 1.50 4.50 0.00 184.00 321.00
16 1.50 5.50 0.00 191.00 323.00
17 1.50 6.50 0.00 198.00 326.00
18 1.50 7.50 0.00 204.00 329.00
19 1.50 8.50 0.00 209.00 331.00
20 1.50 9.50 0.00 214.00 333.00
21 2.50 0.50 0.00 165.00 312.00
22 2.50 1.50 0.00 170.00 314.00
23 2.50 2.50 0.00 176.00 317.00
24 2.50 3.50 0.00 183.00 320.00
25 2.50 4.50 0.00 190.00 322.00
26 2.50 5.50 0.00 197.00 324.00
27 2.50 6.50 0.00 204.00 327.00
28 2.50 7.50 0.00 210.00 330.00
29 2.50 8.50 0.00 215.00 332.00
30 2.50 9.50 0.00 220.00 334.00
